Company,CVR,Country,Street,gPlaces (needs domain clean up),gSearch,rapid
NOBEL FASHION DESIGNER APS,43516744,DK,AKACIEVEJ 2 B FLÃ˜NG,,aaberg-cph.dk,
HAKTON STUDIOS APS,43526421,DK,HANS KNUDSENS PLADS 1 A 1. 6.,,,
COLLEGEPRINT I/S,43524895,DK,C/O L & F GONZALEZ-KNUDSEN LANDSEVEJ 12,,,
CAZNUS APS,43531735,DK,NÃ˜RREGADE 46,,,
COZZIES I/S,43534769,DK,C/O NICOLAI NYMARK SCHULZ WILKENSVEJ 23 ST. TV.,,,
KÃ“OT I/S,43534408,DK,C/O JOSU RODRIGUEZ PADRO VESTRE TEGLGADE 10 B ST. MF.,,,
RIISE APS,43535730,DK,C/O BACKTEE SOMMERVEJ 50,,,
FODBOLDUNIVERSET APS,43543326,DK,BRYGGERVANGEN 16 3. TH.,,,
LILLA VILLA APS,43545280,DK,USSERÃ˜D KONGEVEJ 97 B,,,
BY CECILIE HOTHER APS,43547941,DK,C/O JESPER LODE JERNBANEGADE 4 B 3. TH.,,,
WENAAS WORKWEAR DENMARK A/S,43554662,DK,C/O THE COTTON GROUP A/S AMALIEGADE 47,,,
STÃ˜CK APS,43556703,DK,SÃ˜LYSTVEJ 144,,,
NEVER ANOTHER APS,43577662,DK,C/O DITTE GADE JAKOBSEN SÃ˜NDERHÃ˜J 30,,,
DR MARTENS BRANCH OFFICE FILIAL AF DR MARTENS AIRWAIR WHOLESALE LIMITED UNITED KINGDOM,43582224,DK,FIOLSTRÃ†DE 24 KL.,,,
R.H. SMITH & SONS FILIAL AF R.H. SMITH & SONS (WIGMAKERS) LIMITED ENGLAND.,43583107,DK,HOVEDVEJEN 56 A,,,
KIDZ DESIGN APS,43588834,DK,GODTHÃ…BSVEJ 18 A ST. 1.,,,
ATLAS WORKS AND DAYS APS,43588974,DK,VÃ˜LUNDSGADE 10 ST. TH.,,,
EMSTYLE APS,43592068,DK,KLITVEJ 26,,emstyle.dk,
MP ARBEJDSTÃ˜J APS,43599666,DK,MELLEMLÃ˜KKE 20 DYBBÃ˜L,,,
TC SAM NORDIC APS,43603051,DK,BIRKETINGET 2 B 4. 242.,,,
FINAL GRAVITY APS,43603078,DK,KORSDALSVEJ 107,,,
WÃœRTH MODYF DANMARK FILIAL AF WÃœRTH MODYF INTERNATIONAL GMBH TYSKLAND,43606123,DK,MONTAGEVEJ 6,https://www.wuerth.dk/da/dk/branches/butik_1410?utm_source=butik&utm_medium=organic&utm_campaign=holstebro,,
FAKENOSTALGIA APS,43613839,DK,BALSHAVEVEJ 91 NDR RANDLEV,,fakenostalgia.com,
HR IDEAS APS,43614568,DK,HÃ˜JE GLADSAXE TORV 2 B 9. 2.,,,
ACE & THE HARMONY APS,43615785,DK,ADELGADE 106 ST. TH.,,,
FLYINGYELLOWBALLS I/S,43612042,DK,C/O JESPER MINDSAL SMARAGDVEJ 6,,,
RATRACKIES APS,43628941,DK,C/O LETKÃ˜B CARLSRO SUPER TÃ…RNVEJ 209 ST.,,,
BACHELORS BUTTON APS,43641824,DK,FINSENSVEJ 44 C 2. TH.,,,
LE RAYON I/S,43640062,DK,C/O NICOLAI NISLEV Ã…TOFTEN 55,,,
NORDIC KINGS APS,43655132,DK,C/O ERHVERVSSTYRELSEN DAHLERUPS PAKHUS LANGELINIE ALLÃ‰ 17,,,
AVOW I/S,43651935,DK,C/O ASKILD ROSENSTAND SÃ˜BORG HOVEDGADE 189 1. TV.,,,
HUXIE APS,43657852,DK,TRETOMMERVEJ 25 B,,,
ATELIER PANCEA I/S,43662643,DK,C/O KIM HUU NGUYEN HARRESTRUPVANG 9 A ST. TH.,,,
BABYBERRY APS,43664263,DK,C/O ERHVERVSSTYRELSEN DAHLERUPS PAKHUS LANGELINIE ALLÃ‰ 17,,,
WW APS,43663526,DK,FABRIKSPARKEN 16,,bridalstore.dk,
PEHCHAAN APS,43667378,DK,Ã˜STERBROGADE 226 ST. 1.,,,
RÃ‰PORTO APS,43667394,DK,INDUSTRIPARKEN 12 A,,,
LA SUN-SHADES I/S,43665979,DK,TOFTEVÃ†NGE 22,,,
MEMSA APS,43681605,DK,TYLSTRUPVEJ 12,,memsa.dk,
CF E-COMMERCE APS,43682490,DK,SMALLEGADE 20,,cremefraiche.dk,
ELVSTRÃ˜M SAILWEAR A/S,43681990,DK,PAUL ELVSTRÃ˜MS VEJ 4,,,
PANGAIA MATERIALS SCIENCE APS,43685406,DK,C/O MAZARS MIDTERMOLEN 1 2. TV.,,,
POPPEL-SHOP APS,43700960,DK,Ã˜STRE SKOVVEJ 12 G,,,
SHADELY APS,43710346,DK,HANS BANGSVEJ 13 A 1.,,,
THANKA APS,43708856,DK,CHR MÃ˜LSTEDSGADE 17 ST. TH.,,cphbrandshop.dk,
OSCAR JACOBSON DENMARK APS,43709399,DK,LINDGREENS ALLÃ‰ 12 2.,http://www.oscarjacobson.com/,,
KAWAII VINTAGE APS,43715089,DK,EDVARD THOMSENS VEJ 5 C 4. TH.,https://kawaiivintage.dk/,,
MOE MOE LAND APS,43725343,DK,LYNGBYVEJ 139 2. TV.,,,
BY ENGBORK APS,43729128,DK,KINDHESTEGADE 2,,,
AMBASSADOR 1867 APS,43730606,DK,C/O AKTIESELSKABET PABLO MÃ˜LLEVEJ 9 L NIVÃ…,,,
WITH LOVE I/S,43728369,DK,C/O SARA KORBAS & ALEKSANDRA KORBAS GRÃ˜NTOFTEN 9,,,
PARMARCH I/S,43734857,DK,C/O ASBJÃ˜RN RUDE ANDERSEN PLANTAGEVEJ 15,,,
SARTH APS,43739085,DK,ASTRUPVEJ 6,,,
ANFOSS APS,43754335,DK,ANE DAMS GADE 13 1. TV.,,,
THOBES I/S,43759647,DK,HÃ˜RPARKEN 56 TV.,,,
TOQO APS,43762249,DK,DYBBÃ˜LSGADE 51 5. TH.,,,
STANLEY AND STELLA SA,37727199,DK,C/O SONDERUP PAYROLL APS JYLLANDSGADE 9,,,
MEDLEY BRANDS APS,43773496,DK,C/O VEKTOR KAPITAL APS FRUEBJERGVEJ 3,,,
LITTLE SAVAGE APS,43787926,DK,LÃ†DERSTRÃ†DE 13 KL.,,,
TJX EUROPE BUYING GROUP LIMITED,37725935,DK,NY CARLSBERG VEJ 80,,,
MEDLEY RETAIL APS,43796674,DK,FOLEVÃ†NGET 12,,,
WOMENPLUS APS,43794914,DK,HELLINGHÃ˜JVEJ 4 TUMBÃ˜L,,,
HUSH LITTLE ONE APS,43799592,DK,H.P.HANSENS PLADS 32,http://www.hushlittleone.dk/,,
ATHLETE STUDIOS I/S,43794043,DK,VESTERFÃ†LLEDVEJ 5 ST. TV.,,,
NORDIC SPORTS DESIGN APS,43802836,DK,LYNGBY HOVEDGADE 53 C 2. TV.,,,
SM COMPANY APS,43802445,DK,GRÃ˜NKLÃ˜VERVÃ†NGET 59,,,
ANY PERCENT APS,43807129,DK,C/O MADS LUDVIG SKIBSTED LILLE STRANDSTRÃ†DE 12 1.,,,
BÃ˜GE APS,43811975,DK,FLENSBORGGADE 61 5. TV.,,,
THE TEXTILE SUPPLIER I/S,43810758,DK,C/O OLIVER LYNGE RYDAHL Ã˜STRE HAVNEGADE 32 3. 3.,http://www.ita-textiles.dk/,,
OASIS LICENSING APS,43811959,DK,C/O DANDERS & MORE PHILIP NYHOLM FREDERIKSGADE 17,,,
LINDAAS APS,43814710,DK,DÃ…DYRVEJ 4 VOEL,,birkk.dk,
NORDICA UNIFORMS TRADING LLC,37727342,DK,C/O MERRILD TRADING APS SÃ˜NDERGADE 8,,,
MLV APS,43831089,DK,KALBYVEJ 32,,,
RECIPE X APS,43831542,DK,ALLIANCEVEJ 25 1. TV.,,,
SNEAKER CLUB I/S,43840355,DK,C/O JULIUS ALBRECHTSEN OVERGADE 20,,,
TROLLE PROJECTS A/S,43843745,DK,GYDEVANG 17,,,
BRAMMERS WEBSHOP APS,43847147,DK,SMEDEVÃ†NGET 10 DALBY,,butikrikke.dk,
KY DENMARK APS,43851233,DK,SYVHÃ˜JVÃ†NGE 218,,ky-denmark.dk,
KHENK APS,43851381,DK,TRANEHAVEN 80 2. TH.,,,
VIOLARECYCLING I/S,43846779,DK,PRÃ†STEVÃ†NGET 6,,,
DURABLE JOURNEY APS,43853376,DK,THUNE NIELSENS VEJ 38 NÃ†SBY,,,
KONGWALTHER APS,43853767,DK,SCHERFIGSVEJ 13 ST. TH.,,kongwalther.com,
ABOUT FASHION A/S,43859250,DK,BÃ˜GESKOVVEJ 2 MUNKEGÃ…RDE,,,
GG COMPANY I/S,43863134,DK,ERICAPARKEN 71 1. TH.,,,
MISSO I/S,43863835,DK,FAABORGVEJ 30 A,,,
CPH PONCHO APS,43865943,DK,SANDVIGVEJ 35,https://cphponcho.dk/,cphponcho.dk,
FRU & FRÃ˜KEN APS,43871986,DK,SOLBJERG HOVEDGADE 27,,,
FAMILY TRADE APS,43879340,DK,RENTEMESTERVEJ 80 1.,,comfortbaby.dk,
MUNTERMOR APS,43883437,DK,NÃ˜DDEHAVEN 31,,,
STOCK SALE APS,43882406,DK,NAVERLAND 33,,,
OAKMORE APS,43884573,DK,BÃ˜GEKILDEVEJ 34 A,,,
ATHENA KLINIK APS,43890859,DK,OLE OLSENS ALLE 2,,,
ASPN GROUP APS,43896121,DK,EGÃ˜JEVEJ 58 1.,,,
PIKE'S ONLINESHOP APS,43899368,DK,FUGLESANGSALLE 16,,pikesonlineshop.dk,
KRATHOLM & EGELUND I/S,43903020,DK,C/O KRISTIAN EGELUND OLSEN GLÃ†SBORGVEJ 20,,,
MIT ULD APS,43907484,DK,VÃ†RKSTEDSVEJ 12,,,
BAHE STUDIO APS,43911651,DK,BROGADE 11,,,
RENATO COPENHAGEN APS,43913263,DK,KLAUSDALSBROVEJ 92,,,
AGAMO APS,43915452,DK,VILHELMSBORGVEJ 15,,,
EXCEL LEGGINGS APS,43918184,DK,ASÃ…VEJ 36,,,
ENVY EQUESTRIAN APS,43932578,DK,DANNEBROGSGADE 9 ST. TH.,,,
SPECTRUM GOLF APS,43935593,DK,AHORNSGADE 4 1. TV.,,,
NATURALGLOBE APS,43934708,DK,SÃ˜NDRE FÃ†LLEDVEJ 9,,naturalglobe.org,
COLOURFUL TIGER APS,43937626,DK,KJELD LANGES GADE 14 ST. TV.,,,
SHTB GROUP APS,43937030,DK,GL VARDEVEJ 27 1. TH.,,fadeless.dk,
SHADS FOOTBALL APS,43943766,DK,RÃ˜RKÃ†RVEJ 133,,shadsfootball.com,
J.M. SHIRTS APS,43948687,DK,KONG GEORGS VEJ 35,http://www.jmskagen.com/,,
HSK TEXTILE GROUP APS,43954083,DK,C/O HJALTE SKOVMOSE KJÃ†R Ã…HUSENE 6 3. 5.,http://www.ttg.dk/,hktekstil.dk,
MARINI FASHION I/S,43956264,DK,C/O VALDEMAR JOHANNES NIELSEN ASTERSHAVEN 261,,,
SERA SERA I/S,43971786,DK,DALGAS HAVE 44 B 2. A.,,,
FJÃ˜S FASHION & LIVING AS,43855662,DK,C/O OLSENS REVISION APS FORTUNSTRÃ†DE 1 2.,,,
JYSK WORKWEAR APS,43977741,DK,STENBJERGKVARTERET 11 SNEJBJERG,,,
BLOKKEBAK VINTAGE I/S,43982044,DK,CHRISTIANSGADE 25 2. TV.,,,
HOUSE OF SAREES I/S,43987720,DK,STEENSGÃ…RDSVEJ 22,,,
LUXUU APS,43989618,DK,FUGLEBÃ†KVEJ 3 D ST.,,,
TINSOLDAT.DK APS,43991574,DK,SKOVDALSVEJ 32,,,
MELIORA COPENHAGEN I/S,43989103,DK,C/O MARC CEDERKRANTZ LERGRAVSVEJ 37 1. TH.,,,
DESTY I/S,43997025,DK,KILDEGÃ…RDSVEJ 7,,,
CHOICE GROUP APS,44006995,DK,HOVEDGADEN 45 1. 4.,,,
SPHERE APS,44009684,DK,C/O MARTIN DAVIS-SKJÃ˜TH SKIPPERTOFTEN 53,,,
DANSKK APS,44012154,DK,SÃ˜RENS ALLE 8,,,
SKOVGAARD & LANGMARK INVEST I/S,44016990,DK,HEDETOFTEN 14,,,
KAPLOCK APS,44027348,DK,MIDTERMOLEN 18 5. TH.,,,
OCEAN CREATIVE GROUP APS,44027615,DK,PERLEGADE 10 B,,,
VAMPDEPARIS APS,44030187,DK,Ã˜RESTADS BOULEVARD 58 5. TH.,,,
HUBBUS APS,44030225,DK,LYKKESHOLMS ALLÃ‰ 6 A 2.,,,
ELLEBELLE ORGANICS APS,44046768,DK,SÃ˜LVGADE 85 A 2. TH.,,,
ROSALYNG APS,44053470,DK,C/O MARIANNE LYNGS EGHOFF KROGTOFTEVEJ 18 ERRITSÃ˜,,,
MAISON BIEN SÃ›R I/S,44057905,DK,SANKT JAKOBS GADE 3 ST. TH.,,,
THE CURLY TOUCH I/S,44025949,DK,RICHARD MORTENSENS VEJ 2,,,
GAVN STUDIO I/S,44069369,DK,LAURENTIIGADE 2 B,,gavnstudio.dk,
TIME CAPSULE CLOTHING APS,44073390,DK,KYRADSERVEJ 11,,,
ONYO BAGS APS,44084562,DK,STORE REGNEGADE 5,,,
CYME COPENHAGEN APS,44086875,DK,DANAS PLADS 17 ST. TH.,,,
ALFAJR.DK APS,44087537,DK,KLOKKERHÃ˜JEN 1 1.,,,
S.T. VALENTIN APS,44090392,DK,GULDSMEDGADE 23 1. TV.,,,
THE ONES COMPANY APS,44090929,DK,BAKKEVÃ†NGET 8,,,
CAPETOGEN APS,44092018,DK,C/O CAMILLA FORMENTI SASSVEJ 15,,,
NORDIC SIESTA APS,44092255,DK,BRÃ˜NSHÃ˜JVEJ 48 ST. TV.,,,
VM SKO APS,44094088,DK,C/O GITTE DISSING MESSELL HERLEV BYGADE 74 C ST. TH.,http://www.wmp-sko.dk/,,
FULLYSHIPD APS,44105136,DK,FREDERIKSHAVNSVEJ 86,,,
LUDVIGGO APS,44115794,DK,AALBORGVEJ 146,,,
MELIVO APS,44120372,DK,VESTERBROGADE 6 D,,,
DANGROUP SERVICE APS,44124742,DK,C/O DENTEKS A/S RUGVÃ†NGET 56,,bankkonto.nu,
CHERIS I/S,44122707,DK,C/O NICKLAS ANDERSEN SLOTSALLE 1 3.,,,
KIETZ DESIGN APS,44126761,DK,KRÃœGERSVEJ 48 SANDDAL,,limitlessclo.shop,
RAVNSPORT APS,44129434,DK,DEGNEVÃ†NGET 12 NR BJERT,,,
RAILS DISTRIBUTION DENMARK APS,44125277,DK,C/O GTS NORDIC APS KALKBRÃ†NDERILÃ˜BSKAJ 6,,,
RTW. APS,44141841,DK,VOGNMAGERGADE 7 7.,,,
WILLOW CPH I/S,44155125,DK,PILESTRÃ†DE 43 3.,,,
SYLVANTICA APS,44156725,DK,SKELHÃ˜JVEJ 5 1. TV.,,,
SCANDISUIT APS,44170175,DK,ELVERHÃ˜JVEJ 25 BARUP,,,
LG SAFETY I/S,44173158,DK,C/O PER SIMONSEN KÃ˜BINGSMARKVEJ 41,,,
CHERIS I/S,44176467,DK,C/O MATHIAS FOSS SLOTSALLE 1 3.,,,
BARÃ APS,44178702,DK,C/O KF EJENDOMME APS HAL KOCHS VEJ 3,,,
EASEWEARSHOP I/S,44176726,DK,C/O NICLAS LAURITSEN NOER LYKKESVEJ 31 KL. 1.,,,
AESTHETIC APPEAL APS,44180138,DK,SOFIEVEJ 28 B 1.,,,
BABYGEAR.DK APS,44182769,DK,SMEDEKÃ†RVEJ 33,,certifikat.emaerket.dk,
MAS SELECTION APS,44188503,DK,ELTANGVEJ 67 C ELTANG,,masselection.dk,
ALIPO APS,44190893,DK,SÃ˜NDRE FASANVEJ 45 4. TH.,,,
CPHCONCEPT I/S,44198037,DK,C/O DOULGEROF STURLASGADE 12 N 2. MF.,,cphconcept.com,
MAAGLASSES I/S,44187086,DK,C/O ABBAS ATICI FISKERHUSENE 124,,,
JARDIN PORTANT FILIAL AF JARDIN PORTANT LIMITED. KENYA.,44204843,DK,C/O BENSON OMOL ELSE ALFELTS VEJ 39 D,,,
INDUSTRIAL WEAR DENMARK FILIAL AF INDUSTRIAL WEAR SRL ITALIEN,44208008,DK,C/O DET ITALIENSKE HANDELSKAMMER I DAN H.C. ANDERSENS BOULEVARD 37 4. TH.,,,
LOUI & KIDS APS,44213109,DK,LAANSHÃ˜J ALLE 61 KIRKE VÃ†RLÃ˜SE,,,
BRANDINC DENMARK APS,44212617,DK,C/O NJORD LAW FIRM PILESTRÃ†DE 58 6.,,,
BY C APS,44213907,DK,HUNDIGE STRANDVEJ 129,,,
WIGLO I/S,44218534,DK,LILLE STRANDVEJ 2 A 5. TV.,,,
HÃ˜RSHOPPEN APS,44219921,DK,JOHAN SKJOLDBORGS VEJ 7,,,
MC DIGITAL APS,44227568,DK,LISEBORGVEJ 49,,,
SERÃ‰SH I/S,44237695,DK,C/O ARRAK FRASH ENTARANIK FIGENVEJ 72,,,
POWERTRADE APS,44256061,DK,LADELUNDVEJ 37,,,
SCEND GROUP APS,44258366,DK,SANKT HANS GADE 24 F,,,
THOUXAN APS,44262398,DK,C/O NDR. FRIHAVNSGADE 12 1TV KONGELYSVEJ 6 B,,,
DIVERSITA APS,44264153,DK,LÃ†RKEVÃ†NGET 15,,diversita.dk,
CASUAL STATE APS,44270358,DK,HÃ˜JLÃ˜KKE ALLÃ‰ 7 NÃ†SBY,,,
KIDSGENIC APS,44269619,DK,C/O FLOOR ST. TV Ã˜STERBROGADE 226,,,
KVSCPH APS,44277859,DK,BIRKE ALLE 7 B,,,
9T7 I/S,44275392,DK,C/O NARROW CREATIVE BREDGADE 67 ST. TV.,,,
CALDO APS,44283336,DK,LÃ˜VTOFTEN 51,,,
ATTA'S ELEGANCE APS,44286491,DK,VERNERSVEJ 6,,,
RAHBEK // MAGNUSSEN APS,44304430,DK,NÃ˜RREGADE 46,,,
SPARK LABS APS,44303620,DK,THULEVEJ 12 3. TH.,,,
SAME TIME SUNDAY APS,44310937,DK,BANDHOLMVEJ 6,,,
NODRIP APS,44316390,DK,BOULEVARDEN 6 1. TV.,,,
ALIS APS,44323729,DK,C/O LEGALBASE ADVOKATFIRMA KRONBORG 21,,,
